Name                  Type               Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
--------------------  -----------------  --------------  ----------  ----------  ----------  ---------  ----------  ------------  ------------
Conv_0                FusedConv          11,239,424      3.65%       3,214,848   4.65%       896        0.03%       1x3x224x224   1x32x112x112
Conv_2                FusedConv          4,014,080       1.30%       3,212,544   4.65%       320        0.01%       1x32x112x112  1x32x112x112
Conv_4                Conv               6,623,232       2.15%       1,607,744   2.33%       528        0.02%       1x32x112x112  1x16x112x112
Conv_5                FusedConv          20,471,808      6.65%       9,640,320   13.94%      1,632      0.05%       1x16x112x112  1x96x112x112
Conv_7                FusedConv          3,010,560       0.98%       2,412,288   3.49%       960        0.03%       1x96x112x112  1x96x56x56
Conv_9                Conv               7,300,608       2.37%       611,424     0.88%       2,328      0.07%       1x96x56x56    1x24x56x56
Conv_10               FusedConv          11,289,600      3.67%       3,627,072   5.25%       3,600      0.10%       1x24x56x56    1x144x56x56
Conv_12               FusedConv          4,515,840       1.47%       3,618,432   5.23%       1,440      0.04%       1x144x56x56   1x144x56x56
Conv_14               Conv               10,913,280      3.55%       616,032     0.89%       3,480      0.10%       1x144x56x56   1x24x56x56
Add_15                Add                75,264          0.02%       602,112     0.87%       0          0.00%       1x24x56x56    1x24x56x56
Conv_16               FusedConv          11,289,600      3.67%       3,627,072   5.25%       3,600      0.10%       1x24x56x56    1x144x56x56
Conv_18               FusedConv          1,128,960       0.37%       908,928     1.31%       1,440      0.04%       1x144x56x56   1x144x28x28
Conv_20               Conv               3,637,760       1.18%       219,264     0.32%       4,640      0.13%       1x144x28x28   1x32x28x28
Conv_21               FusedConv          4,967,424       1.61%       1,229,568   1.78%       6,336      0.18%       1x32x28x28    1x192x28x28
Conv_23               FusedConv          1,505,280       0.49%       1,211,904   1.75%       1,920      0.06%       1x192x28x28   1x192x28x28
Conv_25               Conv               4,841,984       1.57%       225,408     0.33%       6,176      0.18%       1x192x28x28   1x32x28x28
Add_26                Add                25,088          0.01%       200,704     0.29%       0          0.00%       1x32x28x28    1x32x28x28
Conv_27               FusedConv          4,967,424       1.61%       1,229,568   1.78%       6,336      0.18%       1x32x28x28    1x192x28x28
Conv_29               FusedConv          1,505,280       0.49%       1,211,904   1.75%       1,920      0.06%       1x192x28x28   1x192x28x28
Conv_31               Conv               4,841,984       1.57%       225,408     0.33%       6,176      0.18%       1x192x28x28   1x32x28x28
Add_32                Add                25,088          0.01%       200,704     0.29%       0          0.00%       1x32x28x28    1x32x28x28
Conv_33               FusedConv          4,967,424       1.61%       1,229,568   1.78%       6,336      0.18%       1x32x28x28    1x192x28x28
Conv_35               FusedConv          376,320         0.12%       308,736     0.45%       1,920      0.06%       1x192x28x28   1x192x14x14
