Name               Type        Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape        OutShape
-----------------  ----------  --------------  ----------  ----------  ----------  ---------  ----------  -------------  -------------
Conv_0_bn_fused    FusedConv   8,429,568       5.71%       2,411,136   4.25%       672        0.03%       1x3x224x224    1x24x112x112
MaxPool_3          MaxPool     677,376         0.46%       602,112     1.06%       0          0.00%       1x24x112x112   1x24x56x56
Conv_4_bn_fused    Conv        188,160         0.13%       151,488     0.27%       240        0.01%       1x24x56x56     1x24x28x28
Conv_9_bn_fused    FusedConv   4,547,200       3.08%       1,460,904   2.57%       1,450      0.06%       1x24x56x56     1x58x56x56
Conv_6_bn_fused    FusedConv   1,136,800       0.77%       369,576     0.65%       1,450      0.06%       1x24x28x28     1x58x28x28
Conv_12_bn_fused   Conv        454,720         0.31%       366,096     0.64%       580        0.03%       1x58x56x56     1x58x28x28
Conv_14_bn_fused   FusedConv   2,682,848       1.82%       377,464     0.66%       3,422      0.15%       1x58x28x28     1x58x28x28
Transpose_20       Transpose   0               0.00%       727,552     1.28%       0          0.00%       1x2x58x28x28   1x58x2x28x28
Split_23           Split       0               0.00%       727,552     1.28%       0          0.00%       1x116x28x28    1x58x28x28
Conv_24_bn_fused   FusedConv   2,682,848       1.82%       377,464     0.66%       3,422      0.15%       1x58x28x28     1x58x28x28
Conv_27_bn_fused   Conv        454,720         0.31%       366,096     0.64%       580        0.03%       1x58x28x28     1x58x28x28
Conv_29_bn_fused   FusedConv   2,682,848       1.82%       377,464     0.66%       3,422      0.15%       1x58x28x28     1x58x28x28
Transpose_35       Transpose   0               0.00%       727,552     1.28%       0          0.00%       1x2x58x28x28   1x58x2x28x28
Split_38           Split       0               0.00%       727,552     1.28%       0          0.00%       1x116x28x28    1x58x28x28
Conv_39_bn_fused   FusedConv   2,682,848       1.82%       377,464     0.66%       3,422      0.15%       1x58x28x28     1x58x28x28
Conv_42_bn_fused   Conv        454,720         0.31%       366,096     0.64%       580        0.03%       1x58x28x28     1x58x28x28
Conv_44_bn_fused   FusedConv   2,682,848       1.82%       377,464     0.66%       3,422      0.15%       1x58x28x28     1x58x28x28
Transpose_50       Transpose   0               0.00%       727,552     1.28%       0          0.00%       1x2x58x28x28   1x58x2x28x28
Split_53           Split       0               0.00%       727,552     1.28%       0          0.00%       1x116x28x28    1x58x28x28
Conv_54_bn_fused   FusedConv   2,682,848       1.82%       377,464     0.66%       3,422      0.15%       1x58x28x28     1x58x28x28
Conv_57_bn_fused   Conv        454,720         0.31%       366,096     0.64%       580        0.03%       1x58x28x28     1x58x28x28
Conv_59_bn_fused   FusedConv   2,682,848       1.82%       377,464     0.66%       3,422      0.15%       1x58x28x28     1x58x28x28
Transpose_65       Transpose   0               0.00%       727,552     1.28%       0          0.00%       1x2x58x28x28   1x58x2x28x28
Conv_68_bn_fused   Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x28x28    1x116x14x14
Conv_73_bn_fused   FusedConv   10,640,448      7.21%       781,840     1.38%       13,572     0.60%       1x116x28x28    1x116x28x28
Conv_70_bn_fused   FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Conv_76_bn_fused   Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x28x28    1x116x14x14
Conv_78_bn_fused   FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Transpose_84       Transpose   0               0.00%       363,776     0.64%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_87           Split       0               0.00%       363,776     0.64%       0          0.00%       1x232x14x14    1x116x14x14
Conv_88_bn_fused   FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Conv_91_bn_fused   Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x14x14    1x116x14x14
Conv_93_bn_fused   FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Transpose_99       Transpose   0               0.00%       363,776     0.64%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_102          Split       0               0.00%       363,776     0.64%       0          0.00%       1x232x14x14    1x116x14x14
Conv_103_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Conv_106_bn_fused  Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x14x14    1x116x14x14
Conv_108_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Transpose_114      Transpose   0               0.00%       363,776     0.64%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_117          Split       0               0.00%       363,776     0.64%       0          0.00%       1x232x14x14    1x116x14x14
Conv_118_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Conv_121_bn_fused  Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x14x14    1x116x14x14
Conv_123_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Transpose_129      Transpose   0               0.00%       363,776     0.64%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_132          Split       0               0.00%       363,776     0.64%       0          0.00%       1x232x14x14    1x116x14x14
Conv_133_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Conv_136_bn_fused  Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x14x14    1x116x14x14
Conv_138_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Transpose_144      Transpose   0               0.00%       363,776     0.64%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_147          Split       0               0.00%       363,776     0.64%       0          0.00%       1x232x14x14    1x116x14x14
Conv_148_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Conv_151_bn_fused  Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x14x14    1x116x14x14
Conv_153_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Transpose_159      Transpose   0               0.00%       363,776     0.64%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_162          Split       0               0.00%       363,776     0.64%       0          0.00%       1x232x14x14    1x116x14x14
Conv_163_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Conv_166_bn_fused  Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x14x14    1x116x14x14
Conv_168_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Transpose_174      Transpose   0               0.00%       363,776     0.64%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_177          Split       0               0.00%       363,776     0.64%       0          0.00%       1x232x14x14    1x116x14x14
Conv_178_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Conv_181_bn_fused  Conv        227,360         0.15%       186,528     0.33%       1,160      0.05%       1x116x14x14    1x116x14x14
Conv_183_bn_fused  FusedConv   2,660,112       1.80%       236,176     0.42%       13,572     0.60%       1x116x14x14    1x116x14x14
Transpose_189      Transpose   0               0.00%       363,776     0.64%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Conv_192_bn_fused  Conv        113,680         0.08%       100,224     0.18%       2,320      0.10%       1x232x14x14    1x232x7x7
Conv_197_bn_fused  FusedConv   10,594,976      7.18%       580,000     1.02%       54,056     2.38%       1x232x14x14    1x232x14x14
Conv_194_bn_fused  FusedConv   2,648,744       1.79%       307,168     0.54%       54,056     2.38%       1x232x7x7      1x232x7x7
Conv_200_bn_fused  Conv        113,680         0.08%       100,224     0.18%       2,320      0.10%       1x232x14x14    1x232x7x7
Conv_202_bn_fused  FusedConv   2,648,744       1.79%       307,168     0.54%       54,056     2.38%       1x232x7x7      1x232x7x7
Transpose_208      Transpose   0               0.00%       181,888     0.32%       0          0.00%       1x2x232x7x7    1x232x2x7x7
Split_211          Split       0               0.00%       181,888     0.32%       0          0.00%       1x464x7x7      1x232x7x7
Conv_212_bn_fused  FusedConv   2,648,744       1.79%       307,168     0.54%       54,056     2.38%       1x232x7x7      1x232x7x7
Conv_215_bn_fused  Conv        113,680         0.08%       100,224     0.18%       2,320      0.10%       1x232x7x7      1x232x7x7
Conv_217_bn_fused  FusedConv   2,648,744       1.79%       307,168     0.54%       54,056     2.38%       1x232x7x7      1x232x7x7
Transpose_223      Transpose   0               0.00%       181,888     0.32%       0          0.00%       1x2x232x7x7    1x232x2x7x7
Split_226          Split       0               0.00%       181,888     0.32%       0          0.00%       1x464x7x7      1x232x7x7
Conv_227_bn_fused  FusedConv   2,648,744       1.79%       307,168     0.54%       54,056     2.38%       1x232x7x7      1x232x7x7
Conv_230_bn_fused  Conv        113,680         0.08%       100,224     0.18%       2,320      0.10%       1x232x7x7      1x232x7x7
Conv_232_bn_fused  FusedConv   2,648,744       1.79%       307,168     0.54%       54,056     2.38%       1x232x7x7      1x232x7x7
Transpose_238      Transpose   0               0.00%       181,888     0.32%       0          0.00%       1x2x232x7x7    1x232x2x7x7
Split_241          Split       0               0.00%       181,888     0.32%       0          0.00%       1x464x7x7      1x232x7x7
Conv_242_bn_fused  FusedConv   2,648,744       1.79%       307,168     0.54%       54,056     2.38%       1x232x7x7      1x232x7x7
Conv_245_bn_fused  Conv        113,680         0.08%       100,224     0.18%       2,320      0.10%       1x232x7x7      1x232x7x7
