Name                  Type               Forward_MACs    FPercent    Memory       MPercent    Params     PPercent    InShape       OutShape
--------------------  -----------------  --------------  ----------  -----------  ----------  ---------  ----------  ------------  ------------
Conv_0                Conv               11,239,424      3.51%       3,214,848    2.72%       896        0.03%       1x3x224x224   1x32x112x112
Clip_1                Clip               802,816         0.25%       3,211,272    2.72%       2          0.00%       1x32x112x112  1x32x112x112
Conv_2                Conv               4,014,080       1.25%       3,212,544    2.72%       320        0.01%       1x32x112x112  1x32x112x112
Clip_3                Clip               802,816         0.25%       3,211,272    2.72%       2          0.00%       1x32x112x112  1x32x112x112
Conv_4                Conv               6,623,232       2.07%       1,607,744    1.36%       528        0.02%       1x32x112x112  1x16x112x112
Conv_5                Conv               20,471,808      6.40%       9,640,320    8.17%       1,632      0.05%       1x16x112x112  1x96x112x112
Clip_6                Clip               2,408,448       0.75%       9,633,800    8.17%       2          0.00%       1x96x112x112  1x96x112x112
Conv_7                Conv               3,010,560       0.94%       2,412,288    2.04%       960        0.03%       1x96x112x112  1x96x56x56
Clip_8                Clip               602,112         0.19%       2,408,456    2.04%       2          0.00%       1x96x56x56    1x96x56x56
Conv_9                Conv               7,300,608       2.28%       611,424      0.52%       2,328      0.07%       1x96x56x56    1x24x56x56
Conv_10               Conv               11,289,600      3.53%       3,627,072    3.07%       3,600      0.10%       1x24x56x56    1x144x56x56
Clip_11               Clip               903,168         0.28%       3,612,680    3.06%       2          0.00%       1x144x56x56   1x144x56x56
Conv_12               Conv               4,515,840       1.41%       3,618,432    3.07%       1,440      0.04%       1x144x56x56   1x144x56x56
Clip_13               Clip               903,168         0.28%       3,612,680    3.06%       2          0.00%       1x144x56x56   1x144x56x56
Conv_14               Conv               10,913,280      3.41%       616,032      0.52%       3,480      0.10%       1x144x56x56   1x24x56x56
Add_15                Add                75,264          0.02%       602,112      0.51%       0          0.00%       1x24x56x56    1x24x56x56
Conv_16               Conv               11,289,600      3.53%       3,627,072    3.07%       3,600      0.10%       1x24x56x56    1x144x56x56
Clip_17               Clip               903,168         0.28%       3,612,680    3.06%       2          0.00%       1x144x56x56   1x144x56x56
Conv_18               Conv               1,128,960       0.35%       908,928      0.77%       1,440      0.04%       1x144x56x56   1x144x28x28
Clip_19               Clip               225,792         0.07%       903,176      0.77%       2          0.00%       1x144x28x28   1x144x28x28
Conv_20               Conv               3,637,760       1.14%       219,264      0.19%       4,640      0.13%       1x144x28x28   1x32x28x28
Conv_21               Conv               4,967,424       1.55%       1,229,568    1.04%       6,336      0.18%       1x32x28x28    1x192x28x28
Clip_22               Clip               301,056         0.09%       1,204,232    1.02%       2          0.00%       1x192x28x28   1x192x28x28
Conv_23               Conv               1,505,280       0.47%       1,211,904    1.03%       1,920      0.06%       1x192x28x28   1x192x28x28
Clip_24               Clip               301,056         0.09%       1,204,232    1.02%       2          0.00%       1x192x28x28   1x192x28x28
Conv_25               Conv               4,841,984       1.51%       225,408      0.19%       6,176      0.18%       1x192x28x28   1x32x28x28
Add_26                Add                25,088          0.01%       200,704      0.17%       0          0.00%       1x32x28x28    1x32x28x28
Conv_27               Conv               4,967,424       1.55%       1,229,568    1.04%       6,336      0.18%       1x32x28x28    1x192x28x28
Clip_28               Clip               301,056         0.09%       1,204,232    1.02%       2          0.00%       1x192x28x28   1x192x28x28
