Name                    Type                Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape        OutShape
----------------------  ------------------  --------------  ----------  ----------  ----------  ---------  ----------  -------------  -------------
Conv_0                  Conv                8,128,512       3.92%       2,411,040   2.86%       648        0.03%       1x3x224x224    1x24x112x112
BatchNormalization_1    BatchNormalization  9,332,736       4.50%       2,408,832   2.86%       96         0.00%       1x24x112x112   1x24x112x112
Relu_2                  Relu                301,056         0.15%       2,408,448   2.85%       0          0.00%       1x24x112x112   1x24x112x112
MaxPool_3               MaxPool             677,376         0.33%       602,112     0.71%       0          0.00%       1x24x112x112   1x24x56x56
Conv_4                  Conv                169,344         0.08%       151,392     0.18%       216        0.01%       1x24x56x56     1x24x28x28
Conv_9                  Conv                4,365,312       2.10%       1,460,672   1.73%       1,392      0.06%       1x24x56x56     1x58x56x56
BatchNormalization_5    BatchNormalization  583,296         0.28%       150,912     0.18%       96         0.00%       1x24x28x28     1x24x28x28
BatchNormalization_10   BatchNormalization  5,638,528       2.72%       1,456,032   1.73%       232        0.01%       1x58x56x56     1x58x56x56
Conv_6                  Conv                1,091,328       0.53%       369,344     0.44%       1,392      0.06%       1x24x28x28     1x58x28x28
Relu_11                 Relu                181,888         0.09%       1,455,104   1.72%       0          0.00%       1x58x56x56     1x58x56x56
BatchNormalization_7    BatchNormalization  1,409,632       0.68%       364,704     0.43%       232        0.01%       1x58x28x28     1x58x28x28
Conv_12                 Conv                409,248         0.20%       365,864     0.43%       522        0.02%       1x58x56x56     1x58x28x28
Relu_8                  Relu                45,472          0.02%       363,776     0.43%       0          0.00%       1x58x28x28     1x58x28x28
BatchNormalization_13   BatchNormalization  1,409,632       0.68%       364,704     0.43%       232        0.01%       1x58x28x28     1x58x28x28
Conv_14                 Conv                2,637,376       1.27%       377,232     0.45%       3,364      0.15%       1x58x28x28     1x58x28x28
BatchNormalization_15   BatchNormalization  1,409,632       0.68%       364,704     0.43%       232        0.01%       1x58x28x28     1x58x28x28
Relu_16                 Relu                45,472          0.02%       363,776     0.43%       0          0.00%       1x58x28x28     1x58x28x28
Transpose_20            Transpose           0               0.00%       727,552     0.86%       0          0.00%       1x2x58x28x28   1x58x2x28x28
Split_23                Split               0               0.00%       727,552     0.86%       0          0.00%       1x116x28x28    1x58x28x28
Conv_24                 Conv                2,637,376       1.27%       377,232     0.45%       3,364      0.15%       1x58x28x28     1x58x28x28
BatchNormalization_25   BatchNormalization  1,409,632       0.68%       364,704     0.43%       232        0.01%       1x58x28x28     1x58x28x28
Relu_26                 Relu                45,472          0.02%       363,776     0.43%       0          0.00%       1x58x28x28     1x58x28x28
Conv_27                 Conv                409,248         0.20%       365,864     0.43%       522        0.02%       1x58x28x28     1x58x28x28
BatchNormalization_28   BatchNormalization  1,409,632       0.68%       364,704     0.43%       232        0.01%       1x58x28x28     1x58x28x28
Conv_29                 Conv                2,637,376       1.27%       377,232     0.45%       3,364      0.15%       1x58x28x28     1x58x28x28
BatchNormalization_30   BatchNormalization  1,409,632       0.68%       364,704     0.43%       232        0.01%       1x58x28x28     1x58x28x28
Relu_31                 Relu                45,472          0.02%       363,776     0.43%       0          0.00%       1x58x28x28     1x58x28x28
Transpose_35            Transpose           0               0.00%       727,552     0.86%       0          0.00%       1x2x58x28x28   1x58x2x28x28
Split_38                Split               0               0.00%       727,552     0.86%       0          0.00%       1x116x28x28    1x58x28x28
